Index,Snore_Data,RED,IR
1,-15,23308,27650
2,14,23305,27647
3,-45,23309,27648
4,63,23308,27654
5,-114,23306,27656
6,166,23305,27663
7,-263,23309,27665
8,378,23311,27676
9,-589,23311,27681
10,966,23317,27688
11,-1801,23322,27693
12,11099,23328,27705
13,17960,23326,27715
14,15857,23328,27718
15,16392,23337,27729
16,15911,23331,27728
17,14317,23325,27715
18,13499,23310,27677
19,15044,23285,27618
20,14890,23259,27556
21,15842,23237,27511
22,14984,23225,27475
23,14531,23211,27439
24,14726,23206,27420
25,12980,23199,27412
26,11331,23203,27405
27,12294,23203,27404
28,11926,23206,27406
29,11290,23212,27423
30,10713,23217,27429
31,7217,23215,27442
32,6264,23220,27451
33,6206,23226,27466
34,2754,23227,27478
35,4098,23235,27480
36,1836,23237,27492
37,1204,23236,27500
38,1286,23247,27506
39,-1138,23249,27514
40,-2054,23253,27522
41,-3372,23257,27538
42,-4212,23260,27548
43,-5000,23272,27553
44,-7101,23269,27570
45,-6881,23270,27577
46,-8463,23276,27584
47,-9679,23275,27577
48,-10047,23274,27576
49,-10008,23272,27578
50,-11411,23277,27564
51,-11932,23272,27562
52,-12953,23268,27554
53,-16093,23264,27556
54,-16578,23264,27553
55,-17194,23265,27551
56,-17520,23269,27555
57,-18667,23269,27560
58,-20049,23270,27568
59,-22055,23278,27570
60,-22831,23278,27577
61,-23757,23279,27582
62,-24242,23284,27596
63,-23384,23290,27601
64,-25757,23294,27605
65,-25581,23291,27615
66,-26390,23291,27623
67,-27493,23296,27638
68,-27863,23306,27639
69,-29888,23305,27651
70,-31325,23304,27658
71,-32436,23312,27662
72,31151,23317,27668
73,29448,23317,27669
74,27825,23317,27681
75,27288,23324,27688
76,26286,23325,27690
77,24375,23323,27696
78,23078,23334,27699
79,23024,23331,27706
80,22251,23329,27711
81,22026,23331,27716
82,22191,23331,27720
83,21171,23336,27726
84,21677,23335,27733
85,20608,23344,27731
86,20351,23340,27739
87,21730,23341,27742
88,21545,23345,27749
89,19775,23347,27753
90,18641,23350,27759
91,16843,23352,27766
92,16143,23360,27776
93,14837,23363,27783
94,11881,23366,27794
95,10547,23369,27806
96,9199,23370,27808
97,9248,23369,27801
98,9243,23353,27771
99,7605,23332,27714
100,7371,23305,27644
101,8430,23283,27587
102,7944,23261,27538
103,7721,23250,27503
104,20187,23237,27471
105,19989,23232,27451
106,19790,23229,27440
107,20769,23222,27426
108,21163,23228,27429
109,22227,23224,27430
110,21843,23229,27438
111,20902,23234,27444
112,20570,23237,27455
113,19942,23244,27468
114,19713,23247,27479
115,19497,23257,27486
116,19242,23255,27490
117,20177,23254,27500
118,20218,23255,27506
119,18286,23259,27507
120,-28817,23265,27516
121,-29318,23267,27524
122,-30631,23271,27537
123,-31498,23274,27547
124,-31997,23280,27557
125,32356,23284,27568
126,31727,23285,27577
127,30952,23288,27577
128,29637,23285,27580
129,28446,23287,27577
130,27080,23282,27576
131,26487,23282,27565
132,27005,23278,27562
133,26553,23278,27555
134,26700,23277,27552
135,25343,23273,27544
136,24456,23274,27541
137,24443,23274,27547
138,24507,23272,27547
139,25058,23280,27548
140,25618,23280,27555
141,24887,23277,27567
142,24612,23282,27576
143,24067,23286,27575
144,22646,23288,27586
145,23339,23289,27593
146,21973,23298,27601
147,20047,23302,27608
148,19242,23304,27617
149,19787,23306,27635
150,19749,23311,27640
151,18685,23312,27650
152,31005,23316,27659
153,29213,23322,27667
154,29778,23321,27678
155,28980,23327,27674
156,27112,23331,27688
157,26344,23337,27696
158,25238,23342,27707
159,24904,23340,27710
160,23921,23348,27718
161,23140,23350,27732
162,23219,23349,27734
163,22935,23352,27743
164,22133,23353,27750
165,19917,23356,27759
166,20052,23357,27762
167,20690,23362,27761
168,20187,23367,27770
169,19989,23365,27771
170,19790,23369,27778
171,20769,23372,27776
172,21163,23375,27784
173,22227,23375,27799
174,21843,23374,27804
175,20902,23383,27806
176,20570,23380,27816
177,19942,23384,27825
178,19713,23384,27836
179,19497,23393,27837
180,19242,23396,27838
181,20177,23387,27825
182,20218,23373,27790
183,18286,23352,27724
184,19554,23326,27657
185,20471,23299,27607
186,20485,23283,27562
187,19946,23269,27530
188,19493,23259,27508
189,20226,23251,27497
190,21395,23248,27491
191,21491,23256,27484
192,20598,23255,27485
193,18422,23256,27490
194,17358,23261,27502
195,15951,23267,27511
196,14201,23273,27519
197,13330,23273,27535
198,11269,23276,27546
199,12092,23278,27558
200,22132,23287,27556
201,21052,23283,27570
202,20994,23285,27576
203,20804,23294,27577
204,19016,23295,27583
205,17817,23291,27589
206,16249,23299,27602
207,15327,23304,27602
208,16296,23301,27609
209,16119,23300,27622
210,14362,23308,27620
211,12755,23307,27622
212,14249,23301,27617
213,16499,23304,27620
214,17425,23300,27618
215,16776,23301,27607
216,-25824,23297,27603
217,-25787,23294,27599
218,-26322,23295,27597
219,-26681,23293,27591
220,-25789,23297,27593
221,-25630,23289,27593
222,-24944,23292,27598
223,-25044,23288,27604
224,-25656,23297,27604
225,-25934,23296,27613
226,-25381,23296,27620
227,-25007,23298,27626
228,-25391,23306,27630
229,-25446,23311,27640
230,-25805,23313,27649
231,-25454,23318,27660
232,-25999,23322,27668
233,-26142,23325,27678
234,-26743,23323,27685
235,-27383,23332,27694
236,-27516,23338,27707
237,-28478,23337,27708
238,-28780,23337,27724
239,-28387,23346,27730
240,-27929,23347,27738
241,-27932,23352,27742
242,-27784,23357,27752
243,-27458,23356,27760
244,-28157,23357,27761
245,-27263,23362,27770
246,-27762,23363,27776
247,-28129,23368,27786
248,21024,23370,27789
249,23975,23375,27797
250,24057,23377,27805
251,23290,23376,27810
252,19579,23376,27814
253,20521,23380,27815
254,21202,23381,27826
255,21076,23382,27826
256,23615,23387,27839
257,23337,23393,27839
258,20973,23395,27848
259,16923,23393,27858
260,13856,23401,27864
261,13624,23408,27870
262,14796,23405,27871
263,20041,23404,27874
264,22132,23400,27859
265,21052,23378,27816
