Index,Snore_Data,RED,IR
1,-49,27029.0,30064.0
2,62,27034.0,30068.0
3,-113,27032.0,30068.0
4,156,27031.0,30073.0
5,-246,27033.0,30071.0
6,344,27025.0,30074.0
7,-537,27034.0,30070.0
8,910,27029.0,30072.0
9,-1827,27031.0,30078.0
10,14557,27032.0,30082.0
11,16249,27029.0,30080.0
12,18185,27030.0,30077.0
13,25644,27038.0,30081.0
14,21206,27036.0,30088.0
15,14288,27029.0,30086.0
16,19064,27034.0,30078.0
17,21123,27039.0,30087.0
18,15244,27033.0,30090.0
19,16376,27035.0,30089.0
20,17644,27039.0,30092.0
21,19416,27034.0,30093.0
22,13688,27044.0,30081.0
23,9844,27036.0,30095.0
24,13961,27036.0,30099.0
25,16733,27030.0,30094.0
26,17071,27037.0,30097.0
27,16320,27039.0,30098.0
28,13466,27040.0,30103.0
29,11752,27037.0,30107.0
30,12893,27033.0,30105.0
31,4015,27041.0,30107.0
32,224,27044.0,30099.0
33,6360,27040.0,30105.0
34,1777,27041.0,30120.0
35,5702,27035.0,30116.0
36,-575,27037.0,30109.0
37,-717,27042.0,30114.0
38,4868,27043.0,30123.0
39,-1635,27041.0,30129.0
40,-6438,27040.0,30130.0
41,-2993,27041.0,30122.0
42,-4579,27045.0,30124.0
43,-3139,27040.0,30133.0
44,-2703,27036.0,30138.0
45,-3867,27046.0,30116.0
46,-8254,27041.0,30120.0
47,-2551,27037.0,30116.0
48,-4606,27034.0,30108.0
49,-7339,27023.0,30089.0
50,-5997,27019.0,30086.0
51,-9078,27026.0,30075.0
52,-7175,27018.0,30068.0
53,-12033,27019.0,30067.0
54,-10609,27016.0,30056.0
55,-14812,27015.0,30059.0
56,-15896,27012.0,30058.0
57,-20271,26995.0,30067.0
58,-19747,27011.0,30054.0
59,-19998,27005.0,30052.0
60,-20004,27011.0,30055.0
61,-21445,27009.0,30054.0
62,-25458,27009.0,30054.0
63,-17242,26993.0,30053.0
64,-25524,27006.0,30042.0
65,-24056,27002.0,30050.0
66,-20692,26999.0,30044.0
67,-25029,26997.0,30036.0
68,-23374,27002.0,30035.0
69,-23362,27003.0,30038.0
70,-26603,27000.0,30043.0
71,-21112,26996.0,30041.0
72,-21667,27000.0,30035.0
73,-28292,27007.0,30030.0
74,-28015,26999.0,30049.0
75,-30384,26994.0,30047.0
76,-31236,26998.0,30044.0
77,-29933,27002.0,30042.0
78,28607,27001.0,30041.0
79,-32131,26995.0,30043.0
80,32023,26985.0,30046.0
81,25950,26998.0,30028.0
82,-32076,26997.0,30035.0
83,30054,26993.0,30033.0
84,31974,26989.0,30038.0
85,-31278,26985.0,30028.0
86,28646,26995.0,30034.0
87,31303,26989.0,30036.0
88,30183,26995.0,30037.0
89,26248,26995.0,30031.0
90,27985,27003.0,30025.0
91,24130,26995.0,30040.0
92,18922,26993.0,30040.0
93,23547,26988.0,30044.0
94,21819,26992.0,30042.0
95,13467,26993.0,30039.0
96,21197,26997.0,30050.0
97,18094,26993.0,30047.0
98,23450,26997.0,30046.0
99,21349,26999.0,30049.0
100,18845,26996.0,30049.0
101,25790,26993.0,30055.0
102,9962,27000.0,30051.0
103,15550,26994.0,30054.0
104,16429,27001.0,30054.0
105,19538,27000.0,30055.0
106,17536,26996.0,30062.0
107,19820,26999.0,30056.0
108,19822,26994.0,30061.0
109,23105,26998.0,30064.0
110,18174,26996.0,30067.0
111,18337,26998.0,30064.0
112,20471,26997.0,30067.0
113,15100,27005.0,30066.0
114,18628,27000.0,30070.0
115,14931,26998.0,30071.0
116,22524,27000.0,30065.0
117,20343,26997.0,30071.0
118,17548,27010.0,30070.0
119,11960,26999.0,30074.0
120,12133,27001.0,30079.0
121,11293,27003.0,30081.0
122,3584,27009.0,30083.0
123,9448,27004.0,30085.0
124,8943,26994.0,30088.0
125,5840,27004.0,30085.0
126,3197,27009.0,30089.0
127,5735,27006.0,30088.0
128,2634,27006.0,30097.0
129,6366,27005.0,30087.0
130,5499,27005.0,30094.0
131,3522,27010.0,30099.0
132,4889,27006.0,30099.0
133,1825,27004.0,30101.0
134,5448,27005.0,30097.0
135,3793,27012.0,30103.0
136,1169,27007.0,30114.0
137,688,27007.0,30111.0
138,2750,27013.0,30108.0
139,1229,27012.0,30110.0
140,1503,27010.0,30106.0
141,-1094,27007.0,30104.0
142,-1420,26998.0,30099.0
143,112,26999.0,30082.0
144,-207,26999.0,30073.0
145,5805,26989.0,30074.0
146,3878,26986.0,30052.0
147,4975,26988.0,30043.0
148,5254,26986.0,30037.0
149,1036,26986.0,30038.0
150,27288,26983.0,30038.0
151,29202,26976.0,30038.0
152,31244,26976.0,30036.0
153,26404,26976.0,30030.0
154,30400,26980.0,30032.0
155,23401,26978.0,30038.0
156,27309,26975.0,30031.0
157,20128,26977.0,30023.0
158,23123,26975.0,30021.0
159,20857,26974.0,30027.0
160,22582,26973.0,30030.0
161,21612,26967.0,30020.0
162,18924,26969.0,30016.0
163,21521,26970.0,30010.0
164,18729,26970.0,30018.0
165,19177,26969.0,30013.0
166,9962,26971.0,30002.0
167,15550,26969.0,30012.0
168,16429,26969.0,30010.0
169,19538,26970.0,30016.0
170,17536,26965.0,30026.0
171,19820,26964.0,30016.0
172,19822,26965.0,30013.0
173,23105,26969.0,30013.0
174,18174,26964.0,30012.0
175,18337,26960.0,30010.0
176,20471,26959.0,30007.0
177,15100,26960.0,30000.0
178,18628,26959.0,30005.0
179,14931,26957.0,30012.0
180,22524,26959.0,30003.0
181,20343,26960.0,30002.0
182,18629,26960.0,30003.0
183,16409,26960.0,30011.0
184,19124,26965.0,30004.0
185,19768,26958.0,30009.0
186,13248,26965.0,29997.0
187,18142,26962.0,30014.0
188,13009,26963.0,30020.0
189,17907,26958.0,30017.0
190,11682,26959.0,30013.0
191,19235,26964.0,30011.0
192,16986,26964.0,30018.0
193,15116,26960.0,30025.0
194,15053,26960.0,30020.0
195,14586,26966.0,30019.0
196,17226,26969.0,30018.0
197,10020,26966.0,30026.0
198,15138,26965.0,30021.0
199,20680,26963.0,30022.0
200,19155,26964.0,30024.0
201,25017,26966.0,30031.0
202,21239,26963.0,30031.0
203,22489,26955.0,30044.0
204,24369,26966.0,30030.0
205,27675,26974.0,30040.0
206,26554,26962.0,30033.0
207,24545,26966.0,30037.0
208,24210,26966.0,30040.0
209,25875,26971.0,30041.0
210,28004,26966.0,30045.0
211,19933,26969.0,30045.0
212,21994,26973.0,30042.0
213,19754,26973.0,30046.0
214,-19767,26979.0,30052.0
215,-24263,26973.0,30058.0
216,-19317,26965.0,30058.0
217,-18423,26973.0,30058.0
218,-18844,26978.0,30059.0
219,-20728,26976.0,30064.0
220,-18681,26972.0,30067.0
221,-19248,26976.0,30065.0
222,-21238,26978.0,30067.0
223,-23519,26979.0,30070.0
224,-21062,26976.0,30075.0
225,-24554,26976.0,30074.0
226,-21291,26980.0,30074.0
227,-23999,26984.0,30079.0
228,-27073,26973.0,30089.0
229,-22119,26986.0,30083.0
230,-25171,26993.0,30069.0
231,-25136,26988.0,30086.0
232,-25530,26982.0,30092.0
233,-24176,26983.0,30095.0
234,-23467,26987.0,30092.0
235,-26601,26990.0,30094.0
236,-21150,26992.0,30098.0
237,-21676,26988.0,30105.0
238,-22343,26990.0,30101.0
239,-24371,26993.0,30108.0
240,-26228,26993.0,30113.0
241,-25593,26986.0,30113.0
242,-25389,26993.0,30118.0
243,-22067,26998.0,30122.0
244,-23227,27001.0,30126.0
245,-24835,26992.0,30124.0
246,16799,27000.0,30130.0
247,16377,27007.0,30114.0
248,13537,26997.0,30121.0
249,11642,26996.0,30124.0
250,14765,26991.0,30115.0
251,13559,26988.0,30100.0
252,20037,26989.0,30093.0
253,19354,26979.0,30081.0
254,18592,26974.0,30072.0
255,15793,26973.0,30059.0
256,18074,26977.0,30055.0
257,16863,26976.0,30054.0
258,18114,26966.0,30052.0
259,16246,26969.0,30048.0
260,17721,26970.0,30047.0
261,17226,26970.0,30058.0
262,15138,26970.0,30047.0
263,20680,26965.0,30042.0
264,19155,26969.0,30044.0
265,25017,26966.0,30047.0
266,21239,26964.0,30043.0
267,22489,26960.0,30042.0
268,24369,26962.0,30035.0
269,27675,26962.0,30039.0
270,26554,26964.0,30033.0
271,24545,26950.0,30031.0
272,24210,26954.0,30023.0
273,25875,26961.0,30029.0
274,28004,26955.0,30032.0
275,19933,26953.0,30029.0
276,21994,26957.0,30021.0
277,19754,26959.0,30025.0
278,22192,26954.0,30028.0
279,18298,26951.0,30026.0
280,16489,26952.0,30025.0
281,20982,26954.0,30021.0
282,18305,26954.0,30025.0
283,20638,26951.0,30027.0
284,20944,26947.0,30020.0
285,18314,26949.0,30018.0
286,20817,26947.0,30017.0
287,17719,26945.0,30023.0
288,17761,26946.0,30020.0
289,23253,26948.0,30013.0
290,20978,26943.0,30022.0
291,20986,26949.0,30013.0
292,16397,26947.0,30018.0
293,14527,26951.0,30018.0
294,1292,26945.0,30022.0
295,727,26944.0,30027.0
296,-1873,26945.0,30014.0
297,1359,26946.0,30016.0
298,1770,26949.0,30020.0
299,500,26945.0,30026.0
300,764,26950.0,30015.0
301,-2068,26947.0,30025.0
302,-1074,26947.0,30025.0
303,1182,26945.0,30027.0
304,-3074,26947.0,30028.0
305,-1396,26948.0,30030.0
306,-608,26949.0,30038.0
307,-1982,26950.0,30028.0
308,1056,26952.0,30036.0
309,-1216,26950.0,30035.0
310,1797,26955.0,30042.0
311,-290,26948.0,30046.0
312,1175,26952.0,30045.0
313,3454,26953.0,30040.0
314,265,26954.0,30041.0
315,704,26954.0,30049.0
316,-1830,26949.0,30051.0
317,56,26954.0,30047.0
318,-19,26954.0,30045.0
319,482,26957.0,30044.0
320,-860,26952.0,30054.0
321,-309,26950.0,30052.0
322,-2041,26956.0,30056.0
323,-5167,26959.0,30053.0
324,-5197,26959.0,30066.0
325,-6723,26955.0,30063.0
326,-3117,26964.0,30054.0
327,533,26960.0,30066.0
328,1347,26956.0,30068.0
329,-346,26957.0,30068.0
330,1859,26956.0,30070.0
331,71,26958.0,30070.0
332,4258,26959.0,30074.0
333,6216,26963.0,30074.0
334,4413,26960.0,30079.0
335,4679,26968.0,30063.0
336,2790,26965.0,30085.0
337,7547,26963.0,30089.0
338,7972,26969.0,30084.0
339,6708,26955.0,30094.0
340,8556,26973.0,30089.0
341,10859,26969.0,30095.0
342,1777,26965.0,30101.0
343,2024,26974.0,30086.0
344,1276,26970.0,30098.0
345,3921,26969.0,30104.0
346,2917,26967.0,30111.0
347,2951,26968.0,30108.0
348,5242,26972.0,30108.0
349,7462,26973.0,30105.0
350,7313,26977.0,30112.0
351,7714,26969.0,30118.0
352,8120,26968.0,30118.0
353,10134,26975.0,30118.0
354,7292,26973.0,30124.0
355,6944,26975.0,30131.0
356,4410,26973.0,30122.0
357,831,26980.0,30125.0
358,4826,26985.0,30138.0
359,5524,26981.0,30137.0
360,5464,26967.0,30145.0
361,5298,26980.0,30142.0
362,4700,26981.0,30138.0
363,2036,26979.0,30141.0
364,-2071,26978.0,30140.0
365,-1668,26972.0,30119.0
366,-5922,26975.0,30111.0
367,-3847,26968.0,30106.0
368,-6766,26964.0,30093.0
369,-6213,26957.0,30081.0
370,-2928,26955.0,30073.0
371,-2856,26956.0,30065.0
372,-1521,26949.0,30061.0
373,-5178,26947.0,30062.0
374,-1308,26947.0,30054.0
375,-971,26951.0,30057.0
376,1640,26949.0,30058.0
377,2365,26941.0,30059.0
378,2468,26944.0,30052.0
379,1404,26947.0,30050.0
380,-954,26945.0,30057.0
381,3306,26942.0,30051.0
382,4321,26944.0,30045.0
383,1983,26942.0,30039.0
384,-1002,26943.0,30040.0
